Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/fitnessGram/getEventStudentList/78426c08-7b28-4f4f-98d1-7c91a47d7810,13,13,240.0,265.4857384634222,239.73980000300799,539.409799996065,58.0,0.8314916730669948,0.8314916730669948,240,240,240,250,250,540,540,540,540,540,540
,Aggregated,13,13,240.0,265.4857384634222,239.73980000300799,539.409799996065,58.0,0.8314916730669948,0.8314916730669948,240,240,240,250,250,540,540,540,540,540,540
